,i,train_count,epochs,x_wins,o_wins,draws,loss,in_shape
187,7,5000,10,810,103,87,categorical_hinge,9
188,8,5000,10,645,296,59,categorical_hinge,9
189,9,5000,10,809,103,88,categorical_hinge,9
190,0,5000,10,785,166,49,categorical_hinge,18
191,1,5000,10,795,160,45,categorical_hinge,18
192,2,5000,10,790,186,24,categorical_hinge,18
193,3,5000,10,780,188,32,categorical_hinge,18
194,4,5000,10,775,181,44,categorical_hinge,18
195,5,5000,10,765,190,45,categorical_hinge,18
196,6,5000,10,769,175,56,categorical_hinge,18
197,7,5000,10,781,182,37,categorical_hinge,18
198,8,5000,10,784,176,40,categorical_hinge,18
199,9,5000,10,765,186,49,categorical_hinge,18
200,0,5000,10,631,175,194,categorical_hinge,27
201,1,5000,10,648,187,165,categorical_hinge,27
202,2,5000,10,880,55,65,categorical_hinge,27
203,3,5000,10,753,166,81,categorical_hinge,27
204,4,5000,10,714,249,37,categorical_hinge,27
205,5,5000,10,534,301,165,categorical_hinge,27
206,6,5000,10,522,340,138,categorical_hinge,27
207,7,5000,10,810,88,102,categorical_hinge,27
208,8,5000,10,642,168,190,categorical_hinge,27
209,9,5000,10,693,200,107,categorical_hinge,27
210,0,5000,10,942,10,48,logcosh,9
211,1,5000,10,978,7,15,logcosh,9
212,2,5000,10,972,16,12,logcosh,9
213,3,5000,10,945,1,54,logcosh,9
214,4,5000,10,887,31,82,logcosh,9
215,5,5000,10,985,3,12,logcosh,9
216,6,5000,10,972,14,14,logcosh,9
217,7,5000,10,955,5,40,logcosh,9
218,8,5000,10,973,0,27,logcosh,9
219,9,5000,10,939,8,53,logcosh,9
220,0,5000,10,752,205,43,logcosh,18
221,1,5000,10,791,166,43,logcosh,18
222,2,5000,10,765,190,45,logcosh,18
223,3,5000,10,800,168,32,logcosh,18
224,4,5000,10,790,160,50,logcosh,18
225,5,5000,10,788,168,44,logcosh,18
226,6,5000,10,782,182,36,logcosh,18
227,7,5000,10,793,163,44,logcosh,18
228,8,5000,10,767,194,39,logcosh,18
229,9,5000,10,766,196,38,logcosh,18
230,0,5000,10,926,17,57,logcosh,27
231,1,5000,10,811,96,93,logcosh,27
232,2,5000,10,819,102,79,logcosh,27
233,3,5000,10,785,157,58,logcosh,27
234,4,5000,10,913,59,28,logcosh,27
235,5,5000,10,862,85,53,logcosh,27
236,6,5000,10,911,23,66,logcosh,27
237,7,5000,10,779,114,107,logcosh,27
238,8,5000,10,868,86,46,logcosh,27
239,9,5000,10,870,91,39,logcosh,27
